Job Title,Company,Location,Salary,Date,Job Link,Expire Date,Welfare,Job Description,Job Requirements,Job Level,Job Type,Experience,Industry,Min_Salary,Max_Salary,exp_min,exp_max
Machine Learning Engineer,Công Ty Tnhh Greystone Data Systems Việt Nam,Hồ Chí Minh,12 Tr - 25 Tr Vnd,2025-03-11,https://careerviet.vn/vi/tim-viec-lam/machine-learning-engineer.35C3253E.html,2025-04-09,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","- Lập trình ứng dụng xử lý hình ảnh, machine learning và deep learning trên các hệ điều hành như Linux, Windows hoặc MacOS. - Xây dựng ML model để giải quyết các bài toán Classification, Object detection, Semantic segmentation, Instance segmentation, OCR... - Chuẩn bị dataset từ các dữ liệu thu thập trên các hệ thống trong các dự án của công ty. - Nghiên cứu ứng dụng các giải pháp machine learning và deep learning vào các dự án hiện tại và các dự án mới. - Xây dựng process software, xử lý hình ảnh, quản lý tài nguyên camera, quản lý tài nguyên GPU. - Tối ưu ML model và xây dựng project có kiến trúc rõ ràng. * Quyền lợi - Review tăng lương vào 2 đợt tháng 4 và tháng 10 hàng năm. - Hưởng lương tháng 13, 14, 15 và xét thưởng dự án vào cuối năm. - Đối với ứng viên có kinh nghiệm, mức lương có thể chi trả lên đến 25 triệu VND. - Được đề bạt các vị trí Project Manager hoặc Leader nếu thể hiện được năng lực quản lý. - Xét thưởng sáng kiến theo dự án. - Xét thưởng nhân viên xuất sắc mỗi quý. - Được đào tạo để tham gia vào các dự án thực tế đang triển khai trong các máy móc tự động hóa thay thế con người cho các khách hàng lớn bên US. - Bên cạnh chế độ Bảo hiểm theo quy định, công ty mua Bảo hiểm sức khỏe (Bảo việt) cho nhân viên và 03 thành viên gia đình. - Tham gia các hoạt động Team building, du lịch, dã ngoại hàng năm. - Cung cấp miễn phí bữa trưa, bữa chiều, sữa, trái cây, cà phê, bánh ngọt... - Cơ hội làm việc với đồng nghiệp, khách hàng từ nhiều quốc gia (US, Hong Kong, Thai Lan, Canada,…) - Được học English miễn phí. - Được sử dụng phòng Guitar, phòng Gym và phòng Bóng bàn miễn phí.","- Tốt nghiệp đại học về Công nghệ thông tin, Trí tuệ nhân tạo, Khoa học máy tính, Điện tử viễn thông, Tự động hóa, Kỹ thuật máy tính hoặc các lĩnh vực liên quan. - Có kinh nghiệm làm việc từ 1 đến 2 năm trở lên ở vị trí kỹ sư Machine Learning. - Có khả năng lập trình Python, C/C++ trên Linux. - Có khả năng đọc hiểu và viết báo cáo bằng tiếng Anh. - Có kỹ năng làm việc theo nhóm. - Chịu được áp lực cao trong công việc. - Ưu tiên ứng viên có kiến thức, kinh nghiệm và kỹ năng như sau: + Có kinh nghiệm sử dụng Jupyter Notebook, Visual Studio Code, Qt Framework. + Có kinh nghiệm trong việc xây dựng các model classification, object detection, semantic segmentation, instance segmentation, OCR... + Có kinh nghiệm làm việc với camera hoặc GPU là một lợi thế. + Có kinh nghiệm lập trình ứng dụng xử lý hình ảnh là một lợi thế. + Có kinh nghiệm về tensorflow2.x, pytorch, docker là một lợi thế. + Có kinh nghiệm deploy ML model sử dụng Triton Server, TF Serving, hoặc OpenVino Server là một lợi thế. + Có kinh nghiệm xây dựng quy trình tự động train/test/deploy Python apps và ML models sử dụng GitLab CI/CD, DVC, Jenkins là một lợi thế.",Nhân viên,Nhân viên chính thức,1 - 2 Năm,"Điện / Điện tử / Điện lạnh / Điện công nghiệp , CNTT - Phần mềm , Cơ khí / Ô tô / Tự động hóa",12000000.0,25000000.0,1.0,2.0
Nhân Viên Bảo Trì Điện Công Nghiệp,Công Ty Tnhh Greystones Data System Việt Nam,Hồ Chí Minh,"7,5 Tr - 9 Tr Vnd",2025-03-25,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri-dien-cong-nghiep.35C39193.html,2025-04-18,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","- Sửa chữa, bảo trì, bảo dưỡng thiết bị máy móc nhằm tăng độ ổn định thiết bị đảm bảo duy trì sản xuất. - Báo cáo công việc xảy ra trong ca và bàn giao các công việc chưa hoàn tất cho ca kế tiếp. - Báo cáo tình hình thiết bị máy móc, an toàn lao động trong sản xuất cho Trưởng bộ phận bảo trì.","- Tốt nghiệp Trung cấp, Cao đẳng chuyên ngành điện công nghiệp. - Có hiểu biết về kỹ thuật điện, thi công hệ thống điện, biết sửa chữa các thiết bị điện. - Trung thực, hòa đồng, có trách nhiệm trong công việc, có tinh thần đồng đội và làm việc theo nhóm. - Có thể làm việc theo ca, tăng ca theo yêu cầu công việc.",Nhân viên,Nhân viên chính thức,1 - 2 Năm,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh / Điện công nghiệp",75000000.0,9000000.0,1.0,2.0
Kỹ Sư Thiết Kế Cơ Khí ,Công Ty Tnhh Greystone Data Systems Việt Nam,Hồ Chí Minh,10 Tr - 20 Tr Vnd,2025-03-25,https://careerviet.vn/vi/tim-viec-lam/ky-su-thiet-ke-co-khi.35C3A954.html,2025-04-25,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']",- Thiết kế máy chuyên dùng để kiểm tra sản phẩm trong lĩnh vực điện tử viễn thông. - Sáng tạo giải pháp xử lý tình huống trong công việc.,"Yêu cầu - Tốt nghiệp chuyên ngành cơ khí chế tạo máy, thiết kế máy. - Kinh nghiệm ít nhất 1- 2 năm thiết kế trong ngành cơ khí. Ưu tiên các ứng viên có kinh nghiệm thiết kế máy tự động. - Biết sử dụng phần mềm Creo 2.0, CAD, Office và các phần mềm đồ họa 2D. - Có kiến thức về gia công CNC. - Có khả năng đọc hiểu và viết báo cáo bằng tiếng anh. - Có kỹ năng làm việc theo nhóm hoặc làm việc độc lập, chịu được áp lực công việc, có khả năng tìm kiếm trên internet. - Có tinh thần học hỏi và ý thức làm việc cao, vui vẻ, hòa đồng. Phúc lợi: - Xét tăng lương vào 2 đợt tháng 4 và tháng 10 hàng năm. - Hưởng lương tháng 13, 14, 15 và xét thưởng dự án vào cuối năm. - Đối với ứng viên có 2-3 năm kinh nghiệm trong lĩnh vực mà công ty yêu cầu, mức lương có thể trên 25 triệu VND. - Được đề bạt các vị trí Project Manager hoặc Leader nếu thể hiện được năng lực quản lý. - Xét thưởng sáng kiến theo dự án. - Xét thưởng nhân viên xuất sắc mỗi quý. - Được đào tạo để tham gia vào các dự án thực tế đang triển khai trong các máy móc tự động hóa thay thế con người cho các khách hàng lớn bên US. - Bên cạnh chế độ Bảo hiểm theo quy định, công ty mua Bảo hiểm sức khỏe (Bảo việt) cho nhân viên và 03 thành viên gia đình. - Tham gia các hoạt động team building, du lịch, dã ngoại hàng năm. - Cung cấp miễn phí bữa trưa, bữa chiều, sữa, trái cây, cà phê, bánh ngọt... - Cơ hội làm việc với đồng nghiệp, khách hàng từ nhiều quốc gia (US, Hong Kong, Thai Lan, Canada,…) - Được học English miễn phí. - Được sử dụng phòng Guitar, phòng Gym và phòng Bóng bàn miễn phí.",Nhân viên,Nhân viên chính thức,1 - 2 Năm,Cơ khí / Ô tô / Tự động hóa,10000000.0,20000000.0,1.0,2.0
Machine Learning Engineer Expert - Ta139,Ngân Hàng Tmcp Việt Nam Thịnh Vượng - Vpbank,Hà Nội,Cạnh Tranh,2025-03-07,https://careerviet.vn/vi/tim-viec-lam/machine-learning-engineer-expert-ta139.35C31A4F.html,2025-04-05,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","1. Working with other centers/departments in EDA as well as Business Units to understand business problems so as to support them in better utilizing machine learning. Managing and directing a team of machine learning engineers in applying data science and engineering techniques in packaging data analytic models developed by Data Science Office. Managing and directing a team of machine learning engineers in developing and operating the MLOps platform. Partner with data scientists to build and operate Feature stores. Collaborate with relevant units to pull new data sources for AIC to facilitate developing new use-case. Partner with data scientist to build criteria for validating machine learning model. Develop deployment architecture for machine learning model, leverage on premise and cloud based big data platforms to refactor and optimize code for production. Automate data and machine learning engineering processes. Monitor model performance, business impact after deployment; support retrain to improve model quality. Coach & train team members. 2. Conduct research and acquire new machine learning techniques Conduct research on modern methods for machine learning and engineering. Proactively analyze and utilize existing/new data sources to support more impactful analyses 3. Partner business units on advanced analytics-related problems Working with other centers/departments in EDA as well as Business Units to understand business problems so as to support them in better utilizing machine learning Training other EDA team members on machine learning","Job requirements: Bachelor degree in Mathematics, Statistics, Engineering, Computer Science or other Quantitative discipline Min 6 years of solid experience in data science, machine learning or big data engineering. Experiences in deploying machine learning model to production Experience in working with cloud environment Experience in interpreting data and translate them into actionable insights, not just data extraction and reporting Advanced in SQL Server & Excel Proficiency in at least one programming language R/Python Proficiency in big data technologies, distributed computing, software and visualization development Data mining related fields area Predictive modelling related jobs Big data engineering and software development Leaderships & managing skills What we offer: Attractive income, competitive salary and bonus according to ability Bonus on Holidays and New Year (according to banking policy from time to time) Get preferential loans according to the bank's policy from time to time Attractive leave mode according to job rank (12-18 paid leaves/year) Compulsory insurance according to labor law & VPBank care insurance for employees depending on rank and working time Participate in training courses depending on the Training Framework for each position Working time: Monday - Friday & Saturday morning (two Saturday mornings/month off) Dynamic, friendly working environment with many opportunities for training, learning and development; participate in many interesting cultural activities (sports event, talents, teambuilding activities...)",Nhân viên,Nhân viên chính thức,6 - 8 Năm,"Chứng khoán , CNTT - Phần mềm , Ngân hàng",21716056.0,31750014.0,6.0,8.0
Machine Learning Engineer Expert - Ta139,Ngân Hàng Tmcp Việt Nam Thịnh Vượng - Vpbank,Hà Nội,Cạnh Tranh,2025-03-19,https://careerviet.vn/vi/tim-viec-lam/machine-learning-engineer-expert-ta139.35C36FDC.html,2025-04-04,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","VPBank is currently one of the fastest growing banks in Vietnam, providing a wide range of services and trusted by many customers. VPBank pays special attention to improving operational efficiency through data-driven activities. The job holder is responsible for applying machine learning engineering approaches and best practices to package data analytic models for deployment, in the form of software applications or APIs to be used by consumers to run the models. Key accountabilities: 1. Working with other centers/departments in EDA as well as Business Units to understand business problems so as to support them in better utilizing machine learning. Managing and directing a team of machine learning engineers in applying data science and engineering techniques in packaging data analytic models developed by Data Science Office. Managing and directing a team of machine learning engineers in developing and operating the MLOps platform. Partner with data scientists to build and operate Feature stores. Collaborate with relevant units to pull new data sources for AIC to facilitate developing new use-case. Partner with data scientist to build criteria for validating machine learning model. Develop deployment architecture for machine learning model, leverage on premise and cloud based big data platforms to refactor and optimize code for production. Automate data and machine learning engineering processes. Monitor model performance, business impact after deployment; support retrain to improve model quality. Coach & train team members. 2. Conduct research and acquire new machine learning techniques Conduct research on modern methods for machine learning and engineering. Proactively analyze and utilize existing/new data sources to support more impactful analyses 3. Partner business units on advanced analytics-related problems Working with other centers/departments in EDA as well as Business Units to understand business problems so as to support them in better utilizing machine learning Training other EDA team members on machine learning","Job requirements: Bachelor degree in Mathematics, Statistics, Engineering, Computer Science or other Quantitative discipline Min 6 years of solid experience in data science, machine learning or big data engineering. Experiences in deploying machine learning model to production Experience in working with cloud environment Experience in interpreting data and translate them into actionable insights, not just data extraction and reporting Advanced in SQL Server & Excel Proficiency in at least one programming language R/Python Proficiency in big data technologies, distributed computing, software and visualization development Data mining related fields area Predictive modelling related jobs Big data engineering and software development Leaderships & managing skills What we offer: Attractive income, competitive salary and bonus according to ability Bonus on Holidays and New Year (according to banking policy from time to time) Get preferential loans according to the bank's policy from time to time Attractive leave mode according to job rank (12-18 paid leaves/year) Compulsory insurance according to labor law & VPBank care insurance for employees depending on rank and working time Participate in training courses depending on the Training Framework for each position Working time: Monday - Friday & Saturday morning (two Saturday mornings/month off) Dynamic, friendly working environment with many opportunities for training, learning and development; participate in many interesting cultural activities (sports event, talents, teambuilding activities...)",Nhân viên,Nhân viên chính thức,6 - 8 Năm,"Chứng khoán , CNTT - Phần mềm , Ngân hàng",21716056.0,31750014.0,6.0,8.0
Scoring Modelling And Analytic Senior Officer,Toyota Financial Services Vietnam,Hồ Chí Minh,Cạnh Tranh,2025-03-07,https://careerviet.vn/vi/tim-viec-lam/scoring-modelling-and-analytic-senior-officer.35C317C4.html,2025-04-05,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","1. Data Analysis and Interpretation: + Analyse large datasets to identify patterns, trends, and anomalies relevant to risk assessment. + Interpret complex data to provide actionable insights to support decision-making processes. 2. Model Development: + Develop & monitor credit risk models (Application score, behavioural score) using statistical and quantitative techniques. + Collaborate with risk management and other relevant teams to understand requirements and ensure models align with business needs. 3. Data Cleansing and Validation: + Cleanse and validate data to ensure accuracy and reliability for model development. + Implement data quality checks and procedures to maintain high standards of data integrity. 4. Report: + Maintain risk reports. + Generate regular reports and ad-hoc analyses to support business decision-making. 5. Continuous Improvement: + Identify opportunities for process improvement and automation to enhance efficiency in risk modelling and analysis. + Stay abreast of emerging technologies and methodologies in risk management and data analysis.","JOB REQUIREMENT + Bachelor’s Degree or above in a quantitative field such as statistics, mathematics, finance, or related discipline. + 2+ years of relevant experience in risk modelling, data analysis, or a related field, preferably in banking or financial sectors. + Experience with risk modelling, statistical methods, and data visualization tools. + Strong proficiency in statistical modelling, data analysis, and programming languages (e.g., SQL, Python or R). + Strong analytical skill, interpersonal, and communication skills. Excellent communication skills with the ability to present complex findings in a clear and understandable manner. + Ability to practice logical reasoning and independent thinking in supporting management’s decision making. + Good written and spoken English. BENEFITS + Attractive Salary (full insurance) + Allowance. + Salary of probation: full 100% + An attractive package of leave: 15 annual leave, birthday leave (gifts). + Salary review based on work performance and company’s performance. + Performance bonus, 13th- month salary. + Health care package; Gym package; Annual health check-up. + Nice & modern working space with young, dynamic & friendly colleagues and free coffee, tea, drinks. + Yearly company trip; Year-End Party. + Working hours: 8:00 – 17:00 from Monday – Friday.",Nhân viên,Nhân viên chính thức,Trên 1 Năm,"Ngân hàng , Tài chính / Đầu tư , CNTT - Phần mềm",21716056.0,31750014.0,1.0,5.0
Ai Expert - Hà Nội - Ta139 ,Ngân Hàng Tmcp Việt Nam Thịnh Vượng - Vpbank,Hà Nội,Cạnh Tranh,2025-03-25,https://careerviet.vn/vi/tim-viec-lam/ai-expert-ha-noi-ta139.35C3A8DF.html,2025-04-24,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","Our vision at VPBank is to revolutionize our capabilities with AI, cementing our place among Vietnam's top three banks and the top 100 in Asia. Within the Enterprise Data and Analytics (EDA) Division, a high-energy team of experts is on a mission to bring advanced AI and machine learning to the core of our operations. By leveraging cutting-edge AI, we aim to deliver predictive insights, automate processes, enhance customer experiences, and drive smart decision-making across all functions. As an AI Expert, you will be instrumental in building and deploying AI models and solutions that transform data into a strategic asset. Working closely with Business Units and EDA teams, you’ll help shape the future of intelligent banking at VPBank. Key responsibilities: Support the management and provide direction for the Data Science department (with potential to lead a small team) in applying advanced analytics, data science techniques, AI solutions, and large language models (LLMs) to uncover customer behaviors and solve business and operational challenges. Work directly with the Head of the Data Science Department to provide guidance on advanced analytics, predictive modeling, and AI solutions within the bank's operations. Proactively propose, execute, and lead analytics projects to support business units Apply data science and analytics techniques to get insights so as to help business to solve real business problems Extract insights from customer behaviors using a variety of data mining techniques Develop machine learning/AI models to help business units in various problems including customer churn, cross-selling products to existing customer, etc. and develop AI solutions to deliver AI products for supporting operational activities effectively, e.g. smart document, CV Parsing, chat bot, call bot, VirtualQC, GenAI, etc. Coach & train team members Automate analytics process","Who We're Looking For: A Bachelor’s degree in Mathematics, Statistics, Engineering, Computer Science, or another quantitative discipline, or a related field A minimum of 5-6 years of solid experience in advanced analytics and data science Strong understanding and practical experience with advanced analytical concepts and statistical techniques, including hypothesis development, complex data analysis, and deriving actionable insights, with a focus on Natural Language Processing (NLP) and Generative AI applications. Deep knowledge of statistical and predictive modeling, with hands-on experience applying machine learning algorithms, particularly in deep learning and NLP domains. Proficiency in using techniques like neural networks, transformers, and recurrent networks for tasks such as text classification, sentiment analysis, entity recognition, and language generation. Experience with cloud technologies and MLOps Expertise in data mining and predictive modeling techniques, with a particular focus on extracting meaningful insights from large-scale unstructured datasets (e.g., text, audio, or image data) and leveraging those insights for innovative Generative AI applications (e.g., text generation, summarization, machine translation). Proficiency with deep learning frameworks such as TensorFlow, PyTorch, or similar, with experience in training, fine-tuning, and deploying NLP models like GPT, BERT, or custom generative models to solve complex business problems. Experience with business intelligence (BI) tools (e.g., Tableau, Power BI, etc.) and data management practices is preferred, including the ability to integrate AI-generated insights into BI dashboards and reports to facilitate data-driven decision-making. A problem-solving mindset with a commitment to self-directed learning Leadership and management skills are a plus What We Offer: An attractive compensation package, including a competitive salary and bonuses based on performance (15-18 month package). Holiday and New Year bonuses in accordance with banking policies. Access to preferential loan options based on the bank’s policies. Generous leave policy based on job rank, with 12-18 paid leave days per year. Mandatory insurance in compliance with labor laws, along with VPBank care insurance tailored to employee rank and tenure. Opportunities to participate in training courses aligned with the training framework for each position. Working hours: Monday to Friday, with Saturday mornings off (two Saturday mornings per month). A dynamic and friendly work environment offering numerous opportunities for training, learning, and professional development, along with engaging cultural activities such as sports events, talent showcases, and team-building activities.",Nhân viên,Nhân viên chính thức,5 - 7 Năm,"Chứng khoán , CNTT - Phần mềm , Ngân hàng",21716056.0,31750014.0,5.0,7.0
Kỹ Sư Quản Trị Cơ Sở Dữ Liệu (Senior Database Administrator),Tổng Công Ty Công Nghệ - Viễn Thông Toàn Cầu,Hà Nội,Cạnh Tranh,2025-03-19,https://careerviet.vn/vi/tim-viec-lam/ky-su-quan-tri-co-so-du-lieu-senior-database-administrator.35C3940E.html,2025-04-30,"['Chế độ bảo hiểm', 'Du Lịch', 'Đồng phục']","Quản lý và tối ưu hệ thống cơ sở dữ liệu (Database Administration) - Cài đặt, cấu hình, nâng cấp và bảo trì các hệ thống cơ sở dữ liệu (Oracle, MySQL, PostgreSQL, Microsoft SQL Server, MongoDB, v.v.). - Giám sát hiệu suất, tối ưu truy vấn, chỉ mục và cấu trúc dữ liệu để đảm bảo hiệu suất cao nhất. - Quản lý phân vùng, sao chép (replication) và phân cụm (clustering) để đảm bảo tính sẵn sàng cao (HA). Quản lý bảo mật và sao lưu dữ liệu (Security & Backup) - Xây dựng chính sách bảo mật, phân quyền người dùng và kiểm soát truy cập vào hệ thống CSDL. - Thiết lập các cơ chế sao lưu, phục hồi dữ liệu (backup & restore), đảm bảo an toàn dữ liệu và khả năng khắc phục sự cố. - Thực hiện các biện pháp bảo mật dữ liệu, mã hóa và tuân thủ các tiêu chuẩn bảo mật (ISO 27001, GDPR, HIPAA). Xây dựng và vận hành hệ thống Data Lake & Data Warehouse - Thiết kế và triển khai kiến trúc Data Lake và Data Warehouse để hỗ trợ phân tích dữ liệu và BI (Business Intelligence). - Làm việc với ETL/ELT tools (Apache NiFi, Talend, Airflow, dbt, Fivetran, v.v.) để thu thập, xử lý và làm sạch dữ liệu từ nhiều nguồn khác nhau. - Quản lý và tối ưu hệ thống lưu trữ dữ liệu lớn (Big Data) như Hadoop, Apache Spark, Snowflake, Redshift, BigQuery. - Tích hợp dữ liệu từ nhiều hệ thống khác nhau để phục vụ báo cáo, phân tích và dự báo. - Hỗ trợ triển khai các giải pháp Machine Learning & AI trên nền tảng dữ liệu lớn. Hỗ trợ vận hành và phát triển hệ thống - Phối hợp với các nhóm phát triển để thiết kế, triển khai và tối ưu hóa kiến trúc dữ liệu. - Cung cấp hỗ trợ kỹ thuật, xử lý sự cố và đảm bảo tính toàn vẹn của dữ liệu trong môi trường sản xuất. - Triển khai các giải pháp tự động hóa quản trị cơ sở dữ liệu bằng Infrastructure as Code (Terraform, Ansible, Kubernetes Operator, Helm, v.v.). Nâng cao và tối ưu hệ thống - Xây dựng và triển khai các giải pháp giám sát hiệu suất hệ thống CSDL (Prometheus, Grafana, ELK Stack, Zabbix). - Nghiên cứu, đề xuất và ứng dụng các công nghệ mới nhằm tối ưu hiệu suất, đảm bảo mở rộng hệ thống khi cần. - Thực hiện các đánh giá hiệu suất hệ thống định kỳ và đề xuất các phương án tối ưu.","Kinh nghiệm - Tối thiểu từ 3 đến 5 năm kinh nghiệm làm việc với vai trò Quản trị CSDL. - Có kinh nghiệm quản trị các hệ thống CSDL lớn, có độ sẵn sàng cao (HA) và chịu tải cao. - Có kinh nghiệm làm việc với Data Warehouse (DWH) và Data Lake trong môi trường doanh nghiệp. Kiến thức: - Thành thạo ít nhất một hệ quản trị cơ sở dữ liệu: Oracle, MySQL, PostgreSQL, Microsoft SQL Server, MongoDB, hoặc tương đương. - Hiểu rõ về tối ưu truy vấn SQL, chỉ mục (indexing), phân mảnh (sharding), replication và clustering. - Kiến thức vững về cấu trúc dữ liệu, thuật toán tối ưu truy vấn, cơ chế giao dịch (ACID, MVCC, locking, deadlock). - Có kinh nghiệm làm việc với ETL/ELT tools (Apache NiFi, Talend, dbt, Fivetran, Airflow). - Hiểu biết về các hệ thống Data Warehouse & Data Lake: Ø Data Warehouse: Snowflake, Amazon Redshift, Google BigQuery, Apache Hive, ClickHouse. Ø Data Lake: AWS Lake Formation, Apache Hadoop, Apache Iceberg, Delta Lake. - Có kinh nghiệm với các hệ thống xử lý dữ liệu lớn (Big Data) như Apache Spark, Hadoop, Flink, Kafka. - Kiến thức về Cloud Database (AWS RDS, Azure SQL, Google Cloud Spanner) hoặc Kubernetes Database Operator. Kỹ năng mềm: - Kỹ năng giải quyết vấn đề, tư duy logic và phân tích dữ liệu tốt. - Có khả năng làm việc độc lập và phối hợp nhóm hiệu quả. - Sẵn sàng làm việc trong môi trường có áp lực cao, hỗ trợ trực 24/7 khi cần. - Có kinh nghiệm lãnh đạo và quản lý đội ngũ kỹ sư CSDL trong các dự án lớn. - Khả năng phân công công việc, giám sát tiến độ và đảm bảo các nhiệm vụ được hoàn thành đúng thời hạn. - Định hướng phát triển chuyên môn cho các thành viên trong nhóm, hỗ trợ đào tạo và nâng cao kỹ năng. Chứng chỉ: - Có một trong số những chỉ sau: Oracle Certified Professional (OCP), Oracle Certified Master (OCM), MySQL Database Administrator, PostgreSQL Certified Professional, MongoDB Certified DBA, Cloudera Certified Data Engineer. Ưu tiên nếu có nhiều các chứng chỉ liên quan đến CSDL.",Nhân viên,Nhân viên chính thức,3 - 5 Năm,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",21716056.0,31750014.0,3.0,5.0
Senior Product Owner,Hr Vietnam’S Ess Client,Hà Nội,Cạnh Tranh,2025-03-17,https://careerviet.vn/vi/tim-viec-lam/senior-product-owner.35C2FF3D.html,2025-04-15,"['Chế độ bảo hiểm', 'Phụ cấp', 'Chăm sóc sức khỏe']","A. Product Development and Delivery Roadmap A1. Product Development Co-working with business stakeholders to define Key Objectives and Business value of data products. Analyze new technology opportunities and other new market trends to form product ideas (including but not limited to User Workbench, Machine Learning model, Business Intelligent Dashboard, AI Chatbot, Metadata tool) Develop product requirements and manage end to end product delivery including customer portrait identification và pain-point journey; Solution design; Solution Development; Testing; Launching; Experience Evaluation... and Solution Adjustment. A2. Delivery Roadmap Drive end-to-end implementation of business as well as technical, security, governance requirements. Take charge of defining solution epics, user stories and specific business acceptance criteria with crossfunctional development team. Oversee tasks related to product launches and co-create high impact marketing plans for go-to-market implementation. B. Project/ Stakeholder Management B1. Project Management Adopt and embrace Agile/Scrum practices during the product development process/life cycle. Lead product planning release plans and set the expectation for the delivery of new functionalities, as well as strengthen the Agile working rhythm by joining daily stand-ups, iteration, sprint reviews, sprint refinement and retrospectives. Resolve people problems and project roadblocks, conduct post mortem and root cause analysis to improve Agile/Scrum practices for maximum productivity and stay on track with committed deliverables. Fosters collaboration between cross-functional teams involved in projects. On top of risk/issue/dependency management within and across related projects, including: proactive communication of risks prior to an issue developing, clear articulation of the risk, specific project impact due to dependency/risk/ issue with mitigation plan, update regularly clear next actions/ steps. B2. Stakeholder Management Represent the product development team with stakeholders and customers / users, as required. Collaborate with stakeholders during the visioning and concept development of a product, also gather feedback, address concerns and inform stakeholders about project progress. Drive alignment between product management and senior management teams to create a product that fits the company portfolio. C. People Management C1. Team/ Squad Management Attract, onboard and retain the right talents for a high- performing team Communicate team and individual KRAs/ KPIs, goals, action plan, expectations and results, as well as relevant HR offerings to team members Act as a role model and promote corporate culture at sub- function level Manage team performance & provide feedback regularly (following the annual performance management cycle) C2. Cross Team Management Leading/ Coaching other DPO in building product ideas/ requirements as well as other perspectives such as Stakeholder Communication, Solution building, Blocker clearance. Responsible for business efficiency, profit and loss for the product/solution offerings of the subjected domain which contributed by cross-delivery teams.","Bachelor's degree or higher in Finance, Banking, Economics, Computing, Information Technology, Business Management or related disciplines Professional certification in Agile Product Management and Product Owner certification is preferred At least 8 years of relevant banking experience or financial services consulting with 2 years of managerial experience Business English standard proficiency as required for the role Understanding of digital banking industry and recent financial innovations Experienced in business analysis and implementation of retail banking/corporate banking/lending/payments digital solutions Experienced working with cloud data platform (AWS, Azure, Google Cloud, Databricks), data analytics and BI tools (PowerBI, Quick Sight , Tableau,...), or develop / implement AI/ML models are preferred. Experienced with defining minimum marketable features and minimum viable products to define product roadmap Working knowledge of JIRA and CONFLUENCE Experienced leading large scale projects within an agile setup is preferred",Quản lý,Nhân viên chính thức,8 - 10 Năm,"CNTT - Phần mềm , Ngân hàng",21716056.0,31750014.0,8.0,10.0
Services Controller,Công Ty Tnhh Onpoint,Hồ Chí Minh,Cạnh Tranh,2025-03-24,https://careerviet.vn/vi/tim-viec-lam/services-controller.35C37B89.html,2025-04-03,"['Laptop', 'Chế độ bảo hiểm', 'Chế độ thưởng']","- Work with Service Manager for setting monthly, weekly, and daily targets - Monitoring actual vs. target performance review (weekly & month-to-date) to give the highlight for business to Head/Service owner - Assisting the Head Business Officer on key business decisions through analyses on ad-hoc basis - Driving important processes throughout the Service & Solution team to ensure deadlines - Weekly/ monthly/ quarterly report control, building report template - Training/ support internal team in terms of data validation, checking the accuracy - P&L & cost controller - Key PIC of Service team to work with cross function","1. Education background requirements: - Bachelor at relevant experience. 2. Experience/Industry requirements: - Goal better, data-driven, can-do attitude, open and supportive mindset. - Very strong knowledge of Excel (experience in financial modelling preferred). - Very good command of English. - Ability to work under pressure and meet tight deadlines. - Ability to communicate complex problems effectively. - Ability to use excel and SQL to extract, analyze data and prepare reports. - Understand about ecommerce platform. 3. Competency requirements: - Analysis & Problem Solving: Identifies and analyses a range of problems by isolating key issues, evaluating relevant data and reaching logical conclusions. - Client Centric: Building strong customer relationships and delivering customer-centric solutions. - Communication: Communicates confidently and professionally, respecting the audience, engendering confidence and trust from external stakeholders and from individuals, teams, departments and the company. - Accountability & Ownership: Plans and balances a range of tasks, assignments, projects and resources. Is able to cope with conflicting demands without undue disruption in order to get things done",Nhân viên,Nhân viên chính thức,1 - 3 Năm,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Tiếp thị trực tuyến",21716056.0,31750014.0,1.0,3.0
