Job Title,Company,Location,Salary,Date,Job Link,Expire Date,Welfare,Job Description,Job Requirements,Job Level,Job Type,Experience,Industry
Data Engineer,Viet Thai International,Hồ Chí Minh,Cạnh tranh,16-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-engineer.35C4911E.html,Expire date not found,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","Data Engineer is taking responsibility for building Data Warehouses and making BI automatic reports 1. Effectively engage stakeholders to understand their business problems and formulate a data-driven resolution approach. Document and follow existing processes for reporting and data quality management. Provide ad-hoc data and analytics support to the business and perform other related duties as assigned. 2. Visualize data using reporting/ dashboard tools & techniques and be accountable for the availability, quality, and accuracy of reporting. * Actively look for potential simplification/ automation areas and implement these changes. 3. Continuous research and improvement to become a subject matter expert on our data repositories/ analytic solutions. Provide thought leadership to the team on use and interpretation. 4. Actively look for potential simplification/ automation areas and implement these changes. 5. Inherently curious about data and strongly desires to keep up with the latest analytics/ visualization and machine learning developments. 6. Providing the guidelines/ training to all Users in using BI tools/report. 7. Other related tasks by the Manager","Education: Bachelor's degree in Statistics, Applied Math, Computer Science, or a related field. Experience: 3+ years of experience in data analytics, working closely with business functions. Hands-on experience building and managing Power BI solutions, including datasets, reports, dashboards, and data models. Familiarity with ETL/ELT tools and data integration frameworks . Understanding of data modeling, star/snowflake schemas, and best practices for BI performance optimization. Strong communication and stakeholder management skills, with the ability to translate business needs into technical solutions. Proficient in Microsoft Excel, SQL, and Visualization tools . Power BI and Azure experience is a plus. Experience with Python/ R programming is a plus. Work related skills Experience in retail is highly desirable but optional. Strong strategic thinking with agility and a growth mindset. Ability to communicate with non-technical/ technical peers. Soft skills Attention to detail. Critical thinking. Can-do attitude. Decent communication skills.",Nhân viên,Nhân viên chính thức,2 - 3 Năm,"Bán lẻ / Bán sỉ , CNTT - Phần mềm , CNTT - Phần cứng / Mạng"
HCM - Data Engineer,CÔNG TY CỔ PHẦN MAISON RETAIL MANAGEMENT INTERNATIONAL,Hồ Chí Minh,11 Tr - 13 Tr VND,21-06-2025,https://careerviet.vn/vi/tim-viec-lam/hcm-data-engineer.35C4BF61.html,19-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","Design, build, and maintain ETL/ELT workflows using Python, SQL, Firecrawl, and orchestration tools such as Prefect or n8n. Integrate data from multiple systems (e.g., SAP, Haravan, Salesforce Commerce) into the company's Redshift-based data warehouse. Ensure data pipelines are reliable, scalable, and recoverable. Perform regular QA checks to validate data integrity, freshness, and completeness. Investigate and resolve data discrepancies or quality issues across systems. Implement automated alerts and monitoring for critical data processes. Support Power BI dashboard development by ensuring proper data modeling and optimized views in Redshift. Collaborate with analysts and business teams to ensure datasets meet reporting requirements. Maintain clean, well-documented datasets for self-service BI. Document pipeline logic, schema design, and data lineage clearly. Contribute to internal standards for naming conventions, versioning, and workflow governance. Support initiatives to standardize master data and improve metadata usage across the company.","1+ year of experience in a data engineering, BI, or analytics role. Advanced Python programming skills for data processing, pipeline development, and data manipulation. Proficient in SQL with experience in complex queries, query optimization, and working with various database systems. Strong foundation in data engineering concepts including data warehouses and data lakes, with deep understanding of data structures, algorithms, and system design principles Proven experience in building robust, scalable and performant data pipelines on the cloud (AWS preferred, GCP). Familiar with Power BI and able to prepare data models and views that support self-service reporting. Comprehensive knowledge of data quality assurance methodologies and validation techniques General knowledge of AI tools and concepts (e.g., data enrichment, automation, prompt engineering) to improve team productivity. Able to work independently and communicate effectively across departments.",Mới tốt nghiệp,Nhân viên chính thức,Not available,"CNTT - Phần mềm , Bán lẻ / Bán sỉ"
Business Data Analyst (BDA) ,Công ty Cổ phần Chứng khoán DNSE,Hà Nội,20 Tr - 40 Tr VND,27-06-2025,https://careerviet.vn/vi/tim-viec-lam/business-data-analyst-bda.35C4CC88.html,31-08-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Develop, maintain, and optimize data models and transformations using dbt, ensuring data quality and documentation standards are met Analyze, interpret, and document existing Oracle PL/SQL stored procedures to understand business logic and data transformation flows Map data flows, identify raw source data, and create appropriate staging and transformation layers in dbt to replicate the logic from legacy procedures Collaborate with data engineering and business teams to validate the accuracy and completeness of migrated dbt models Write and maintain documentation and tests for new dbt models to ensure data quality and transparency Design, build, and automate dashboards and reports using BI tools to visualize key metrics and trends Collaborate with product managers, UX/UI designers, and engineering teams to translate business requirements into actionable data insights and product recommendations Design and execute A/B tests or other experiments to evaluate the impact of new features and changes on key product metrics","Bachelor’s degree in Computer Science, Statistics, Mathematics, Data Science, Economics, or a related field, or equivalent work experience Advanced SQL skills with extensive hands-on experience in querying, transforming, and analyzing complex datasets Hands-on experience with dbt for building, testing, and documenting data models and transformations in a modern data stack Experience with BI tools for building dashboards, reports, and data visualizations Strong analytical skills and attention to detail, with the ability to interpret and present complex data clearly Familiarity with cloud data warehouse platforms (e.g., Snowflake, BigQuery, Redshift) is a plus Experience with version control (e.g., Git) and collaboration in a code-driven analytics environment is preferred Excellent communication skills, able to work cross-functionally and explain technical concepts to non-technical audiences Proactive, organized, and able to manage multiple tasks in a fast-paced environment Preferred Qualifications: Experience with Python or R for data analysis and automation Knowledge of data governance, data quality, and best practices in analytics engineering Prior experience in a similar role within a data-driven organization",Nhân viên,Nhân viên chính thức,2 - 5 Năm,"Chứng khoán , Tài chính / Đầu tư"
Data Quality Analyst,CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Hồ Chí Minh,Cạnh tranh,28-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-quality-analyst.35C49BE7.html,Expire date not found,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Define, implement, and monitor data quality rules and KPIs across critical data domains (customer, transaction, product, etc.) Identify data anomalies and collaborate with technical and business teams to resolve root causes Establish and maintain data quality dashboards, documentation, and lineage tracking Partner with Data Governance to maintain data dictionaries, standards, and metadata consistency Support incident management and escalation related to data quality breaches Provide regular reports and status updates to stakeholders on data quality health Assist in testing data pipelines and validating data integrity across systems","Required Qualifications: 2+ years of experience in data quality, data governance, or data operations Familiarity with SQL and ability to query large datasets Experience working with BI tools (Power BI, Tableau, Metabase) Strong analytical mindset and attention to detail Understanding of master data, reference data, and metadata management Ability to communicate data issues clearly to both technical and non-technical stakeholders Nice to Have: Exposure to data quality tools (e.g., Great Expectations, Collibra, Talend DQ) Experience in financial services, banking, or loyalty programs Knowledge of data pipeline architecture and ETL validation techniques Familiarity with data catalog platforms or enterprise data models What We Offer: A data-first culture with strong support from leadership Exposure to enterprise-scale banking and loyalty systems Cross-functional collaboration with product, engineering, and analytics teams Flexible working environment and continuous learning opportunities",Nhân viên,Nhân viên chính thức,2 - 3 Năm,CNTT - Phần mềm
Data Engineering Lead,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,Hồ Chí Minh,Cạnh tranh,27-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-engineering-lead.35C49F29.html,06-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Collaborate with IT and business teams to extract and import data into data warehouses and core databases. Ensure smooth data integration using best practices for ETL/ELT processes. Monitor and optimize database performance for reliability and efficiency. Troubleshoot database issues related to performance and data quality. Work with Big Data tools (e.g., Spark, NoSQL) for large-scale processing and analysis. Assist with data migration and real-time/batch data pipeline development. Maintain system and data process documentation. Support preparing dashboard using BI tools. Collaborate with cross-functional teams to resolve technical and operational challenges. Assist with additional ad-hoc tasks as assigned by management.","Education: Bachelor’s degree in Computer Science, Information Technology, or related field. Experience: Minimum 3 years in PL/SQL scripting, database administration, cloud databases, and data engineering. Experience with Data Warehousing, Data Lake, Big Data tools (e.g., Spark, NoSQL) and BI tools (Power BI, Google Looker,...). Expertise in Oracle databases, ETL/ELT, and Linux/Shell scripting. Personal Characteristics: Self-motivated and able to manage multiple tasks under pressure. Strong problem-solving and analytical skills. Software Skills: Proficiency in MS Office (Excel, Word, PowerPoint). Familiarity with project management tools like Jira or Trello. Additional Skills: Strong time management to handle multiple tasks efficiently. Effective English communication skills (both written and verbal).",Nhân viên,Nhân viên chính thức,5 - 7 Năm,"Bán lẻ / Bán sỉ , CNTT - Phần mềm"
HR Data Analyst,TKG Taekwang Vina,Đồng Nai,14 Tr - 20 Tr VND,27-06-2025,https://careerviet.vn/vi/tim-viec-lam/hr-data-analyst.35C48D6C.html,Expire date not found,"['Chế độ bảo hiểm', 'Phụ cấp', 'Đồng phục']","Calculate and analyze labor cost for various projects. Develop and maintain dashboards or/and reports to track key HR metrics, labor cost models and forecasts. Collect, analyze workforce data and generate insightful reports to support decision-making. Ensure data accuracy and compliance with labor laws and data privacy regulations",Graduated from College and above Good english communication Proficiency in Excel and HR software; strong data visualization skills At least 2 years of experience in HR analytics or data analysis (e.g. labor cost analysis & forecast) Understanding of labor laws and HR,Nhân viên,Nhân viên chính thức,2 - 5 Năm,"Hành chính / Thư ký , Nhân sự , Kế toán / Kiểm toán"
Data Business Partner Expert,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh tranh,12-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-business-partner-expert.35C44290.html,11-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","Job Purpose This is a strategic role for a business-oriented data professional who can deeply understand business dynamics and translate them into meaningful, scalable data-driven solutions. Acting as a strategic partner, you will closely work with business units to identify business challenges, shape insight-driven strategies, and collaborate with cross-functional data teams (Data Analytics, Data Science, Data Engineering, Data Modeling) to enable informed and impactful decision-making across the organization. ________________________________________ Key Responsibilities 1. Business partnering & Strategic consulting • Act as a strategic partner to business units, proactively explore their business models, pain points, strategic priorities co-create actionable data solutions. • Frame complex business questions into clear, structured data problems and drive end-to-end insight generation. • Propose and support the implementation of initiatives that business units achieve long-term goals. 2. Driving Data Culture Across the Organization • Serve as a key bridge between data teams and business functions: regularly update, communicate, and guide departments on how to apply data products effectively. • Cultivate long-term, trust-based relationships with both internal and external stakeholders to develop reliable systems for collecting, storing, and using strategic data, enable sustainable data initiatives • Lead mindset transformation by promoting data literacy and encouraging data-driven decision-making at all levels. 3. Program Execution & Evaluation • Participate directly in surveys, planning, implementation, and review of key strategic initiatives with business units. • Monitor execution quality and progress; evaluate results and recommend improvements to ensure continued impact.","Knowledge & Experience • Bachelor’s degree in Business, Economics, Psychology, Sociology, or other fields with strong communication and analytical skills. • At least 5 years of experience working directly with functional teams (HR, Sales, Marketing, Operations, etc.) in roles involving internal consulting, cross-functional collaboration, or project execution. • Experience in retail, e-commerce, FMCG, or digital transformation companies. Core Competencies: • Business acumen : understand strategic business goals and link data solutions with business priorities. • Partner mindset : proactive, collaborative, and focused on adding value to internal stakeholders. • Systemic thinking : Understands the broader organizational context and interdependencies; connects data initiatives to long-term business outcomes and transformation goals. • Data analytics: Strong in data analytics, reporting, and translating findings into actionable business recommendations. • Excellent communication & facilitation : skilled at leading discussions and gathering insights across multiple levels. • Program design : capable of planning and implementing initiatives that drive results. • Influence & relationship-building : able to connect, engage, and create positive influence in cross-functional settings. • Growth mindset : open to learning, eager to improve, and committed to following through. Preferred (nice to have): • Experience in running internal communications, training programs, or behavioral change campaigns. • Background in consulting, transformation, or business partnering roles is a plus.",Quản lý,Nhân viên chính thức,7 - 15 Năm,"Bán lẻ / Bán sỉ , Thống kê , Tư vấn"
Senior Data Engineer,DatVietVAC Group Holdings,Hồ Chí Minh,Cạnh tranh,09-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-data-engineer.35C3DC14.html,08-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Đồng phục']","Building and optimizing ‘big data’ data pipelines, architectures and data sets; Design, develop, and maintain data pipelines, warehouses, datalake. Build the data products that technical users will depend on for business intelligence and ad-hoc access. Work side by side with our Data Science to build and automate data pipeline, data ETL, etc. on distributed data processing platform such as Spark. Prepare data inputs for a generic blueprint ""model builder"" Build production data pipeline for daily ETL and model retraining End-to-end data processing, troubleshooting, and problem diagnosis.","What we expect from you We are looking for a candidate with a Data Engineer role, who has attained a Graduate degree in Computer Science, Informatics, Information Systems, Software Engineering, Statistic or another quantitative field. They should also have experience using the following/ have knowledge software/tools is plus: Good logical thinking; Passionate about coding and programming, innovation, and solving challenging problems; Understanding of computer science fundamentals (data structures and algorithms, operating systems, networks, databases, etc); Willing to work with cross-functional teams in a dynamic & fast-paced environment; Preferred Qualifications (is plus) Big data tools: Kafka, Hadoop, Hive, Spark, Elastic Search; Relational SQL and NoSQL databases: MySQL, MongoDB, Hbase, Cassandra, Clickhouse; Data pipeline and workflow management tools: Airflow, Nifi;",Trưởng nhóm / Giám sát,Nhân viên chính thức,5 - 7 Năm,CNTT - Phần mềm
Data analysis specialist,CÔNG TY CP TẬP ĐOÀN VIỆT HỒNG,Hồ Chí Minh,Cạnh tranh,16-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-analysis-specialist.35C4B234.html,15-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","We are looking for a detail-oriented and business-savvy Data Analyst to join our growing team. In this role, you will be responsible for gathering, analyzing, and interpreting data from various business functions to deliver actionable insights. The ideal candidate combines technical expertise with strong communication skills and a deep understanding of business needs. Key Responsibilities 1. Market & Customer Insights Lead market research and competitive analysis to identify trends and opportunities Analyze customer data and behavioral patterns to uncover actionable insights for marketing, product development, and sales Translate business questions into data-driven analysis and recommendations 2. Data Governance , Data Analysis & Reporting Collect, clean, and manage data from multiple sources, including internal databases, APIs, and third-party systems Conduct data exploration, identifying trends, anomalies, and root causes Present findings and insights to both technical and non-technical stakeholders in a clear, visual and business-relevant report Maintain data accuracy, completeness, and consistency across systems Help standardize data definitions, metrics, and reporting templates Document processes and support the upkeep of databases and reporting environments 3. Cross-functional Collaboration Work closely with Sales, Marketing, Operations to understand data needs Support cross-functional initiatives such as new product launches, cost optimization, new business opportunities, and market expansion with data-driven input Recommend and implement process improvements based on analytical findings to enhance efficiency and performance",Advanced analytical and statistical skills Experience with data visualization and analytics tools Strong time management abilities Deep understanding of market research methodologies Excellent presentation and communication skills Proficiency in CRM systems and customer analytics platforms Problem-solving and critical thinking abilities English and Vietnamese proficiency,Nhân viên,Nhân viên chính thức,1 - 3 Năm,"Bán hàng / Kinh doanh , Đồ gỗ"
Senior Data Analyst,Esoft,Hà Nội,"1,000 - 1,800 USD",27-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst.35C4BF7D.html,15-08-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","ABOUT ESOFT Esoft is one of the world’s leading real-estate tech companies specializing in property presentations, image processing, 3D visualization, and online marketing of properties worldwide. Our customers are real estate agents and property-marketing companies in Europe, US, and Australia who rely on us for our fast service, our innovative solutions, and high and consistent quality. The company was founded in 2000 in Denmark and our platform in Vietnam has been operating since 2007. We currently employ more than 800 people in our offices in Vietnam, Denmark, Sweden, and Norway. At Esoft, we are on an exciting journey of transformation and we are seeking a talented individuals who are passionate about making a real impact and shaping the future. We encourage all applicants from minorities, people with disabilities, and all other qualified applicants. KEY RESPONSIBILITIES Data Analysis & Business Insights: Collect, clean, and analyze large datasets to extract meaningful insights via mainly Power BI reports/ dashboards. Perform correlation analysis to measure and describe the strength and direction of a relationship between two or more variables (mostly in Production). Monitor key operational performance indicators (KPIs – OTD, Quality, Cost, Resource utilization, Productivity, Forecast/Budget fulfilment, etc) following the Company strategies and provide recommendations for improvement. Apply clustering and grouping techniques based on certain characteristics or patterns of data for driving different focus level to each segmentation and implementing common actions. Perform statistical analysis and data modelling to address business challenges (if feasible). Embed Power BI reports on web-based platforms and manage user permissions and access control. Predictive Analytics by Mathematical Algorithms: Develop predictive models using statistical and machine learning algorithms to forecast business trends. Utilize regression models (linear, logistic), time series forecasting (ARIMA, Exponential Smoothing) to early warning for human-based forecasting competence as well as resource preparation. Conduct customer behavior analytics to interpret monthly demand into hourly/daily workload for Production. Data Management, Governance, and Quality Assurance: Co-ordinate with ERP for necessary data flows. Work with data warehouse solutions to store and manage structureddata efficiently serving for Production. Collaborate with data engineers in ERP to design, maintain, and optimize ETL/ELT pipelines to extract, transform, and load data into the warehouse and to ensure scalable data storage and retrieval strategies. Implement data governance, data security, privacy, and access best practices to ensure compliance with internal policies and standards ISO/IEC 27001. Cross-Functional Collaboration: Partner with stakeholders (ERP, Finance, Production, HR, Wholesale) to understand data needs and develop analytical solutions. Present analytical findings in a clear, actionable format for both technical and non-technical audiences. Ensure end users to appropriately utilize data for execution, monitoring and improvement. Foster a culture of teamwork, ensuring seamless communication across departments, growth mindset to adapt the changes.","Education: Bachelor’s degree in Statistics, Data Science, Computer Science, Business Analytics, or a related field. Experience: 4 - 5 years of experience as a Data Analyst. Previous experience with ERP Microsoft Dynamics AX system or similar systems is a plus. Proficient use of SQL (My SQL or MS SQL is a plus). Proficient use of Power BI. English fluency (IELTS ≥ 6.5)",Nhân viên,Nhân viên chính thức,5 - 10 Năm,"CNTT - Phần mềm , Sản xuất / Vận hành sản xuất"
Data Analyst (HR Dept.),Công Ty TNHH Aeon Việt Nam,Hồ Chí Minh,Cạnh tranh,13-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-analyst-hr-dept.35C489CA.html,Expire date not found,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Primary Objective Manage the storage quality of data Use data effectively to make quick, timely and accurate decisions Key Activities Collect, clean, and analyze HR Data from sources Create report and make recommendations for policies and activities to improve the organization Roles and responsibilities Collects and compiles HR metrics and data from a variety of sources including the human resource information system (HRIS) and payroll outputs, management and employee surveys, exit interviews, government labor statistics, competitors’ practices, and other sources. (25%) Recommend, support and cleaning data storage in source systems (HRIS) and other sources. (40%) Analyzes data and statistics for trends and patterns with attention to recruitment, hiring practices, motivation, turnover, and compliance with employment laws and regulations. (10%) Based on metrics and analysis, makes recommendations for policies and activities to improve the organizational culture including suggestions to attract and hire qualified candidates, to motivate and retain employees, to address staffing issues, and to maintain legal compliance. (10%) Prepares reports of data results, presenting and explaining findings to senior leadership. (5%) Ensures compliance with data privacy regulations and best practices. (5%) Performs other duties as assigned. (5%)","Qualification and Job Requirements College/University Preferably 2 to 3 years of working experience in Data Analyst Good attitude for getting the task executed; creative implementation of technology Adapt quickly, learn fast and work independently The ability to approach and self-learn new technologies and new skills The ability to work as part of a team and independently. Have a passion to work with data, spreadsheets, and formulas. Preferred skills Excellent research, analytical, and problem-solving skills. Have a growth mindset, strong problem-solving skills, and a data-driven mindset. Good at English and logical thinking. Excellent knowledge of Microsoft Office Suite, Excel, and the ability to create charts, spreadsheets, and presentations. Benefits 13 month salary Performance bonus: 2-3 month salary Transportation allowance Premium healthcare Full salary social insurance Meal at canteen 1 days work from home per week (after probation) 12 days annual leaves Many opportunities of development (transfer, promote) Training and learning development;",Nhân viên,Nhân viên chính thức,2 - 7 Năm,Nhân sự
Collections Data Analyst,FE CREDIT,Hồ Chí Minh,Cạnh tranh,19-06-2025,https://careerviet.vn/vi/tim-viec-lam/collections-data-analyst.35C4B70B.html,16-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","1. Performance Report Analysis: Extra data from DW for collections performance analysis/requirement from Management; Do segmentation analysis on portfolio from collections point of view Provide data to back-test / Do simulation for new suggestion/scheme/campaign Do forecasting weekly/monthly of roll rates/provision. 2. Reporting: Provide weekly/monthly report of Collections performance Update result of all reports as required (allocation, performance,…) 3. Operating: Track and monitor the performance for new bonus scheme/pay out/ target setting Do pilot/ champion-challenger to test the efficiency new approach/ new scheme…. Set allocation plan for Collections Division","University degree of statistics, mathematics, economy, IT or related area. 2 year working experience in Data Analyst, Performance Management, Risk Analyst, MIS Report or relevant fields. Analytical and logical thinking. Good communication skill. Good at Reporting skills (Excel, PL/SQL).",Nhân viên,Nhân viên chính thức,2 - 3 Năm,"Ngân hàng , CNTT - Phần mềm"
Data Analyst Senior,CÔNG TY TNHH TALENTSOURCE,Hồ Chí Minh,"1,000 - 2,500 USD",25-06-2025,https://careerviet.vn/vi/tim-viec-lam/data-analyst-senior.35C4C7AF.html,25-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Collaborating with Digital Performance team for setting up and tracking all marketing channels, clean and clear data to prepare the reports Responsible for providing input data information so that the Analysis team can accurately analyze the current customers/products of esport games Updating and reporting daily/monthly/quartely/yearly to HOD. Responsible for ensuring the feasibility of efficient quick initiatives proposed by the Analysis team. Monitor the Marketing funnel in campaigns to capture specific deployment situations, and make appropriate improvement proposals for the campaign. Test the efficient quick initiatives according to the actual results. Expand the scale, forecast, alert of analysis according to the plan/actual results Collaborating with the Marketing team and other departments to deliver tasks; Assist to HOD as assigned tasks.","BA degree in Marketing, Data analysis, or related disciplines; At least 03 years of relevant experience as a Data Performance Analyst position (experience in E-sporting game industries, Financial Institution, Advertising Agency, Public Newspaper preferred); Know how to use Power BI, Data Studio, SQL... Good at Vietnamese and English language Familiar with various social media and digital platforms (Facebook, Instagram, Youtube, Tiktok, Website, etc.) Proven record with a diverse portfolio showcasing your relevant work; Creativity mindset with a “Can-do” attitude; Ability to work in a Diversity & Inclusion team environment; Be able to work independently.",Trưởng nhóm / Giám sát,Nhân viên chính thức,Trên 3 Năm,"Tiếp thị / Marketing , CNTT - Phần mềm , Tiếp thị trực tuyến"
Senior Data Science Manager,Công Ty Cổ Phần GreenFeed Việt Nam,Hồ Chí Minh,Cạnh tranh,12-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-data-science-manager.35C44483.html,11-07-2025,[],"Develop Computer Vision Algorithms: Design, train, and optimize deep learning models for tasks such as object detection, segmentation, image classification, and pose estimation. Implement and refine image processing techniques for feature extraction, noise reduction, and data augmentation. Build Scalable Models: Develop scalable and efficient pipelines for real-time video and image data processing. Collaborate with engineering teams to integrate vision models into production systems. Data Analysis and Management: Collect, preprocess, and analyze large-scale datasets, including labeled and unlabeled visual data. Leverage techniques like supervised, unsupervised, and self-supervised learning. Research and Innovation: Stay updated on the latest advancements in computer vision, deep learning, and AI. Experiment with state-of-the-art architectures like Transformers, GANs, or Diffusion Models to enhance model performance. Collaborate Across Teams: Work closely with cross-functional teams, including data engineers, software developers, and domain experts, to understand business problems and deliver solutions. Present findings and insights to stakeholders using clear visualizations and reports. Deploy and Monitor Models: Deploy models on cloud platforms or edge devices for real-time applications. Monitor model performance and implement strategies for continuous improvement.","Education: Bachelor’s or higher degree in Computer Science, Data Science, Artificial Intelligence, or a related field. Experience: Proven experience (3-5+ years) in applying computer vision techniques in real-world projects. Hands-on experience with large datasets, image processing libraries, and deep learning frameworks. Technical Skills: Strong programming skills in Python; proficiency in frameworks like TensorFlow, PyTorch, or OpenCV. Experience with image and video annotation tools. Familiarity with cloud platforms and edge deployment. Knowledge of MLOps tools and practices for model deployment and monitoring. Understanding of algorithm optimization techniques for performance and scalability. Soft Skills: Strong problem-solving skills with the ability to translate business needs into technical solutions. Effective communication skills to present complex technical findings to non-technical stakeholders. Collaborative mindset and ability to work in interdisciplinary teams. Preferred Qualifications Experience with 3D computer vision, LiDAR data, or point cloud processing. Familiarity with advanced architectures like YOLO, Mask R-CNN, Vision Transformers, or CLIP. Knowledge of generative AI models and their applications in computer vision. Experience with AR/VR applications or simulations.",Quản lý,Nhân viên chính thức,3 - 5 Năm,CNTT - Phần mềm
Operations Data Development Supervisor,Techtronic Industries Vietnam Manufacturing Company Limited,"Hồ Chí Minh
 Bình Dương",Cạnh tranh,27-06-2025,https://careerviet.vn/vi/tim-viec-lam/operations-data-development-supervisor.35C47F3F.html,26-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","We are seeking an organized, proactive, and detail-oriented Operations Data Development Supervisor to lead the development of data tools that support operational efficiency and strategic decision-making. This role requires close collaboration with operations teams to analyze data, identify root causes of issues, and provide actionable insights for continuous process improvement and long-term operational strategy. Additionally, this position is responsible for overseeing the management and control of the indirect material warehouse, ensuring accurate inventory tracking and optimized warehouse operations, work at Saigon High Tech Park, District 9, HCMC 1. Tool Development & Automation for IDM warehouse and operations team: Design, develop, and maintain operational data tools, dashboards, and reporting systems to support indirect material management and cross-functional operations, including: IDM Warehouse Report Dashboard and KPI tracking tools for warehouse performance monitoring. Indirect material planning tools, including automated reminders for stock levels and replenishment needs. Timesheet attendance tool,... Employee data management tools for the access door/security system,... Automate data collection and reporting processes to improve speed and accuracy of information flow from IDM system, security and access door system data. 2. Data Analysis & Root Cause Investigation: Analyze warehouse data, operational data, security data to detect trends, performance gaps, and inefficiencies. Collaborate with stakeholders to identify root causes of issues and develop corrective actions 3. Strategic & Process Improvement: Lead or support continuous improvement with flows, processes, systems, initiatives across operations and IDM warehouse management. Provide data-driven insights to support strategic planning and decision-making. Evaluate and optimize workflows to enhance productivity and resource utilization. Provide training and support on data tools and systems to end-users. 4. Indirect Material Warehouse and Planning Management : Supervise and ensure the effective operation of the indirect material warehouse, maintaining accurate inventory and timely material replenishment. Implement and enforce best practices in inventory management, material handling, and space optimization. Monitor key warehouse KPIs and initiate improvement actions based on performance trends. Collaborate with cross-functional teams to ensure a seamless material delivery and usage flow. Develop and maintain Standard Operating Procedures (SOPs) for IDM warehouse operations and material flow processes. Perform additional tasks related to factory management or other assignments as delegated by managers.","College and above. Bachelor’s degree in data science, Information Systems, Supply Chain Management, or a related field. At least 3 years of relevant experience in data analysis, tool development, warehouse/operations support roles. Hands-on experience with warehouse management, indirect material control, or operational planning is highly preferred. Previous experience in a leadership or supervisory position. Experience working in a manufacturing or factory environment is a plus. Be able to comfortably use English. English: Full understanding in English. Proficiency in MS Office (MS Excel, MS Word and MS PowerPoint, Outlook). Proficiency in procurement software, Data Analysis, Microsoft BI, Power Query, Power Automate, Marcos, VBA,.. Strong analytical and negotiation skills. Solid understanding of warehouse/inventory operations. Strong analytical, communication, and project management skills Demonstrated leadership capabilities in guiding cross-functional teams and managing warehouse operations. Ability to delegate tasks, provide clear direction, and follow through on project execution. Strong decision-making and prioritization skills, especially under tight timelines. Comfortable coaching and training team members on data tools and system use. Be able to go to Binh Duong once or twice a week. Main Location: Milwaukee factory in Saigon High Tech Park - Working hour: 7:30 AM – 4:00 PM - From Monday to Friday.",Trưởng nhóm / Giám sát,Not available,3 Năm,"Sản xuất / Vận hành sản xuất , Vận chuyển / Giao nhận / Kho vận"
